epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86315,1.33421,2.82193,1.64521,0.5045,0.17427,0.26551,0.12245,1.42454,2.74262,1.98735,0.000466199,0.000466199,0.000466199
2,12.8868,1.34601,2.29512,1.61067,0.24155,0.2662,0.19448,0.10156,2.08111,2.67091,2.41427,0.000933201,0.000933201,0.000933201
3,18.1262,1.42442,2.30763,1.68467,0.30069,0.33551,0.22897,0.10518,1.78428,3.20491,2.39294,0.00139077,0.00139077,0.00139077
4,23.497,1.43868,2.21572,1.71362,0.13321,0.22871,0.0931,0.03969,2.07732,5.2034,2.8836,0.00138656,0.00138656,0.00138656
5,28.9339,1.43177,2.13312,1.71424,0.26131,0.41341,0.28016,0.12712,1.75054,2.8156,2.24671,0.00137241,0.00137241,0.00137241
6,34.9161,1.45209,2.07792,1.69036,0.29521,0.36651,0.23184,0.10747,1.84801,2.57232,2.2289,0.00135826,0.00135826,0.00135826
7,40.7213,1.40309,1.96459,1.66636,0.38154,0.41082,0.3204,0.17749,1.54296,2.18347,1.93989,0.00134412,0.00134412,0.00134412
8,46.5043,1.40822,1.89618,1.65489,0.34359,0.22238,0.24735,0.0984,1.80075,2.4807,2.24241,0.00132997,0.00132997,0.00132997
9,52.2522,1.31497,1.82326,1.59137,0.48553,0.37658,0.41513,0.22954,1.53716,2.24991,1.90083,0.00131582,0.00131582,0.00131582
10,58.0546,1.33134,1.77426,1.60562,0.41808,0.34401,0.35038,0.20348,1.53837,2.27149,1.94376,0.00130168,0.00130168,0.00130168
11,64.0725,1.32574,1.75027,1.60191,0.48502,0.37543,0.37353,0.22969,1.50094,2.18984,1.85746,0.00128753,0.00128753,0.00128753
12,69.9189,1.33852,1.77461,1.58802,0.37532,0.4347,0.30724,0.15392,1.59319,2.3178,1.98684,0.00127338,0.00127338,0.00127338
13,75.7591,1.30165,1.6933,1.57833,0.64433,0.31567,0.46398,0.25241,1.62547,2.1387,1.96275,0.00125923,0.00125923,0.00125923
14,81.6419,1.30113,1.66653,1.59144,0.65886,0.36133,0.47931,0.26664,1.50084,2.15869,1.78442,0.00124509,0.00124509,0.00124509
15,87.4131,1.26788,1.59236,1.52986,0.55499,0.40798,0.46053,0.23846,1.68932,1.955,2.11561,0.00123094,0.00123094,0.00123094
16,93.4285,1.25157,1.6072,1.55261,0.48449,0.43613,0.42625,0.23562,1.40222,2.1141,1.76265,0.00121679,0.00121679,0.00121679
17,99.1957,1.20702,1.55044,1.52094,0.64099,0.58816,0.61009,0.37023,1.31142,1.64572,1.68435,0.00120265,0.00120265,0.00120265
18,104.537,1.23465,1.54829,1.53449,0.42428,0.51822,0.51681,0.28666,1.53779,1.78651,1.8533,0.0011885,0.0011885,0.0011885
19,109.978,1.22686,1.50653,1.52803,0.56885,0.50316,0.56425,0.35348,1.35217,1.62437,1.70348,0.00117435,0.00117435,0.00117435
20,115.532,1.19973,1.47552,1.49855,0.67558,0.49166,0.56267,0.33102,1.48316,1.7743,1.80281,0.00116021,0.00116021,0.00116021
21,120.981,1.18061,1.43572,1.49214,0.57853,0.46629,0.51621,0.26374,1.51098,1.60276,1.83989,0.00114606,0.00114606,0.00114606
22,126.776,1.19672,1.46155,1.50239,0.61681,0.42598,0.53805,0.32195,1.40536,1.74376,1.76448,0.00113191,0.00113191,0.00113191
23,132.532,1.19908,1.48331,1.49523,0.52593,0.50646,0.53684,0.33748,1.26656,1.66349,1.65483,0.00111776,0.00111776,0.00111776
24,138.346,1.1915,1.43862,1.47389,0.71624,0.51467,0.56348,0.32831,1.41906,1.62411,1.78344,0.00110362,0.00110362,0.00110362
